,trt1,trt2 ,trt3 ,trt4,trt5,trt7,trt8,trt9
no sucrose,0.433,1.086,2.249,0.42,2.007,2.629,0.753,1.518
no sucrose,1.024,0.73,0.464,0.797,2.742,0.465,4.006,0.744
no sucrose,0.191,0.767,0.451,0.57,0.763,0.744,3.904,0.124
no sucrose,0.359,0.636,0.375,0.536,0.721,4.044,4.321,0.215
sucrose,3.356,4.11,1.239,3.859,3.097,4.341,0.325,4.181
sucrose,0.378,3.886,1.054,3.304,4.228,2.466,0.191,4.094
sucrose,0.127,3.216,0.988,3.338,3.94,2.714,3.844,4.024
sucrose,0.102,2.004,0.589,3.707,3.923,0.206,0.182,1.702
