location_id,plot_id,Rep,Crop,Grass,PGC_Hgt_cm
FAB_UNL_keystone,b3.sc.stv.kbg.v1,6,Soybean ,KBG,12.67
FAB_UNL_keystone,b3.sc.stv.kbg.v2,6,Soybean ,KBG,8
FAB_UNL_keystone,b3.sc.grn.rhb.v1,5,Soybean ,RhB,39.67
FAB_UNL_keystone,b3.sc.grn.rhb.v2,5,Soybean ,RhB,35.67
FAB_UNL_keystone,b3.sc.grn.kbg.v1,5,Soybean ,KBG,16.33
FAB_UNL_keystone,b3.sc.grn.kbg.v2,5,Soybean ,KBG,15
FAB_CTV_keystone,b1.cc.stv.kbg.h1,2,Corn,KBG,0
FAB_CTV_keystone,b1.cc.stv.kbg.h2,2,Corn,KBG,0
FAB_CTV_keystone,b1.cs.grn.rhb.h1,1,Corn,RhB,27
FAB_CTV_keystone,b1.cs.grn.rhb.h2,1,Corn,RhB,31
FAB_CTV_keystone,b2.cc.stv.rhb.h1,4,Corn,RhB,34
FAB_CTV_keystone,b2.cc.stv.rhb.h2,4,Corn,RhB,28
FAB_CTV_keystone,b2.sc.stv.kbg.v1,4,Soybean,KBG,0
FAB_CTV_keystone,b2.sc.stv.kbg.v2,4,Soybean,KBG,17
FAB_CTV_keystone,b3.sc.grn.rhb.v1,5,Soybean,RhB,42
FAB_CTV_keystone,b3.sc.grn.rhb.v2,5,Soybean,RhB,42
FAB_CTV_keystone,b3.cs.stv.kbg.h1,6,Corn,KBG,18
FAB_CTV_keystone,b3.cs.stv.kbg.h2,6,Corn,KBG,15
FAB_CTV_keystone,b1.sc.grn.rhb.v1,1,Soybean,RhB,36
FAB_CTV_keystone,b1.sc.grn.rhb.v2,1,Soybean,RhB,36
FAB_CTV_keystone,b1.cs.grn.kbg.h1,1,Corn,KBG,0
FAB_CTV_keystone,b1.cs.grn.kbg.h2,1,Corn,KBG,8
FAB_CTV_keystone,b2.cc.stv.kbg.h2,4,Corn,KBG,35
FAB_CTV_keystone,b2.cc.stv.kbg.h1,4,Corn,KBG,10
FAB_CTV_keystone,b2.cs.grn.rhb.h2,3,Corn,RhB,37
FAB_CTV_keystone,b2.cs.grn.rhb.h1,3,Corn,RhB,35
FAB_CTV_keystone,b3.sc.grn.kbg.v1,5,Soybean,KBG,9
FAB_CTV_keystone,b3.sc.grn.kbg.v2,5,Soybean,KBG,8.5
FAB_CTV_keystone,b3.cc.grn.rhb.h1,5,Corn,RhB,28
FAB_CTV_keystone,b3.cc.grn.rhb.h2,5,Corn,RhB,34
FAB_CTV_keystone,b1.sc.grn.kbg.v2,1,Soybean,KBG,21
FAB_CTV_keystone,b1.sc.grn.kbg.v1,1,Soybean,KBG,0
FAB_CTV_keystone,b1.cc.stv.rhb.h2,2,Corn,RhB,34
FAB_CTV_keystone,b1.cc.stv.rhb.h1,2,Corn,RhB,30
FAB_CTV_keystone,b2.cs.grn.kbg.h1,3,Corn,KBG,10
FAB_CTV_keystone,b2.cs.grn.kbg.h2,3,Corn,KBG,10
FAB_CTV_keystone,b2.sc.stv.rhb.v2,4,Soybean,RhB,28
FAB_CTV_keystone,b2.sc.stv.rhb.v1,4,Soybean,RhB,35
FAB_CTV_keystone,b3.cs.stv.rhb.h1,6,Corn,RhB,33
FAB_CTV_keystone,b3.cs.stv.rhb.h2,6,Corn,RhB,38
FAB_CTV_keystone,b3.cc.grn.kbg.h2,5,Corn,KBG,20
