obs    year    loc      plot   row     col     rep     iblk   entry      yield                                                                     
114     1       2       4024    4       17      1       12      24      3639.67                                                         
115     1       2       4025    4       16      1       13      25      4329.25                                                         
116     1       2       4026    4       15      1       13      26      5886.71                                                         
117     1       2       4027    4       14      1       14      27      4520.99                                                         
118     1       2       4028    4       13      1       14      28      5193.76                                                         
119     1       2       4029    4       12      1       15      29      5795.88                                                         
120     1       2       4030    4       11      1       15      30      4790.10                                                         
121     1       2       4031    4       10      2       16      8       4258.61                                                         
122     1       2       4032    4       9       2       16      29      5859.80                                                         
123     1       2       4033    4       8       2       17      14      3925.59                                                         
124     1       2       4034    4       7       2       17      24      3333.56                                                         
125     1       2       4035    4       6       2       18      22      4662.27                                                         
126     1       2       4036    4       5       2       18      27      4292.25                                                         
127     1       2       4037    4       4       2       19      11      3108.18                                                         
128     1       2       4038    4       3       2       19      6       3686.76                                                         
129     1       2       4039    4       2       2       20      3       2983.72                                                         
130     1       2       4040    4       1       2       20      2       3696.85                                                         
131     1       2       4041    3       1       2       21      30      4884.28                                                         
132     1       2       4042    3       2       2       21      20      4430.17                                                         
133     1       2       4043    3       3       2       22      12      3323.47                                                         
134     1       2       4044    3       4       2       22      18      3922.23                                                         
135     1       2       4045    3       5       2       23      23      4050.05                                                         
136     1       2       4046    3       6       2       23      25      3723.76                                                         
137     1       2       4047    3       7       2       24      16      4238.43                                                         
138     1       2       4048    3       8       2       24      21      3639.67                                                         
139     1       2       4049    3       9       2       25      19      2691.07                                                         
140     1       2       4050    3       10      2       25      28      4951.56                                                         
141     1       2       4051    3       11      2       26      9       4416.71                                                         
142     1       2       4052    3       12      2       26      13      4658.91                                                         
143     1       2       4053    3       13      2       27      7       4073.60                                                         
144     1       2       4054    3       14      2       27      1       3881.86                                                         
145     1       2       4055    3       15      2       28      4       3875.13                                                         
146     1       2       4056    3       16      2       28      5       3841.50                                                         
147     1       2       4057    3       17      2       29      15      3955.87                                                         
148     1       2       4058    3       18      2       29      10      4473.90                                                         
149     1       2       4059    3       19      2       30      26      5405.68                                                         
150     1       2       4060    3       20      2       30      17      4332.62                                                         
151     1       2       4061    2       20      3       31      4       3461.38                                                         
152     1       2       4062    2       19      3       31      15      3629.57                                                         
153     1       2       4063    2       18      3       32      18      4359.53                                                         
154     1       2       4064    2       17      3       32      28      4867.47                                                         
155     1       2       4065    2       16      3       33      6       4753.09                                                         
156     1       2       4066    2       15      3       33      21      3807.86                                                         
157     1       2       4067    2       14      3       34      20      4904.47                                                         
158     1       2       4068    2       13      3       34      26      5365.31                                                         
159     1       2       4069    2       12      3       35      1       3831.40                                                         
160     1       2       4070    2       11      3       35      13      4113.97                                                         
161     1       2       4071    2       10      3       36      27      5005.38                                                         
162     1       2       4072    2       9       3       36      12      3814.59                                                         
163     1       2       4073    2       8       3       37      3       3612.76                                                         
164     1       2       4074    2       7       3       37      10      4611.81                                                         
165     1       2       4075    2       6       3       38      8       3636.30                                                         
166     1       2       4076    2       5       3       38      24      3212.46                                                         
167     1       2       4077    2       4       3       39      11      3865.04                                                         
168     1       2       4078    2       3       3       39      22      4467.17                                                         
169     1       2       4079    2       2       3       40      9       3737.22                                                         
170     1       2       4080    2       1       3       40      2       3733.85                                                         
171     1       2       4081    1       1       3       41      29      5277.85                                                         
172     1       2       4082    1       2       3       41      23      4396.53                                                         
173     1       2       4083    1       3       3       42      25      3787.67                                                         
174     1       2       4084    1       4       3       42      30      5065.93                                                         
175     1       2       4085    1       5       3       43      16      4137.51                                                         
176     1       2       4086    1       6       3       43      5       3532.02                                                         
