Week,Pen_ID,Time,Treatment,Gest_stage,Amb_Temp,RH,Mean
1,7_1,0.4826388888888889,C,Early,21.744999999999997,61.254999999999995,32.6
1,7_1,0.48333333333333334,C,Early,21.744999999999997,61.254999999999995,35.9
1,7_1,0.48333333333333334,C,Early,21.744999999999997,61.254999999999995,33.1
1,7_1,0.4840277777777778,C,Early,21.744999999999997,61.254999999999995,34.5
1,7_1,0.4840277777777778,C,Early,21.744999999999997,61.254999999999995,35.7
1,6_2,0.4861111111111111,C,Early,21.744999999999997,61.254999999999995,33.3
1,6_2,0.4861111111111111,C,Early,21.744999999999997,61.254999999999995,35.1
1,6_2,0.48680555555555555,C,Early,21.744999999999997,61.254999999999995,34.9
1,6_2,0.48680555555555555,C,Early,21.744999999999997,61.254999999999995,34.8
1,6_2,0.48680555555555555,C,Early,21.744999999999997,61.254999999999995,34.4
1,8_2,0.45208333333333334,C,Early,21.744999999999997,61.254999999999995,30.4
1,8_2,0.45208333333333334,C,Early,21.744999999999997,61.254999999999995,32.7
1,8_2,0.4527777777777778,C,Early,21.744999999999997,61.254999999999995,32.4
1,8_2,0.4527777777777778,C,Early,21.744999999999997,61.254999999999995,33.9
1,8_2,0.4534722222222222,C,Early,21.744999999999997,61.254999999999995,33.3
1,7_3,0.47847222222222224,C,Early,21.744999999999997,61.254999999999995,32.9
1,7_3,0.47847222222222224,C,Early,21.744999999999997,61.254999999999995,34.9
1,7_3,0.478472222222222,C,Early,21.744999999999997,61.254999999999995,33.4
1,7_3,0.4791666666666667,C,Early,21.744999999999997,61.254999999999995,34.1
1,7_3,0.4791666666666667,C,Early,21.744999999999997,61.254999999999995,36.1
1,6_4,0.4895833333333333,C,Early,21.744999999999997,61.254999999999995,33.3
1,6_4,0.49027777777777776,C,Early,21.744999999999997,61.254999999999995,33.9
1,6_4,0.4909722222222222,C,Early,21.744999999999997,61.254999999999995,33.8
1,6_4,0.49166666666666664,C,Early,21.744999999999997,61.254999999999995,35.7
1,6_4,0.49236111111111114,C,Early,21.744999999999997,61.254999999999995,34.7
1,8_4,0.45694444444444443,C,Early,21.744999999999997,61.254999999999995,32.1
1,8_4,0.4576388888888889,C,Early,21.744999999999997,61.254999999999995,31.9
1,8_4,0.45902777777777776,C,Early,21.744999999999997,61.254999999999995,33
1,8_4,0.4652777777777778,C,Early,21.744999999999997,61.254999999999995,32.5
1,8_4,0.4652777777777778,C,Early,21.744999999999997,61.254999999999995,32
1,7_5,0.47291666666666665,C,Early,21.744999999999997,61.254999999999995,33.6
1,7_5,0.4736111111111111,C,Early,21.744999999999997,61.254999999999995,33.6
1,7_5,0.4736111111111111,C,Early,21.744999999999997,61.254999999999995,34.9
1,7_5,0.4736111111111111,C,Early,21.744999999999997,61.254999999999995,35.3
1,7_5,0.47430555555555554,C,Early,21.744999999999997,61.254999999999995,35.3
1,6_6,0.49444444444444446,C,Early,21.744999999999997,61.254999999999995,31.5
1,6_6,0.4951388888888889,C,Early,21.744999999999997,61.254999999999995,33.8
1,6_6,0.49583333333333335,C,Early,21.744999999999997,61.254999999999995,33.4
1,6_6,0.49583333333333335,C,Early,21.744999999999997,61.254999999999995,32.9
1,6_6,0.49583333333333335,C,Early,21.744999999999997,61.254999999999995,34.9
1,6_8,0.4618055555555556,C,Early,21.744999999999997,61.254999999999995,35.2
1,6_8,0.4625,C,Early,21.744999999999997,61.254999999999995,34.4
1,6_8,0.46319444444444446,C,Early,21.744999999999997,61.254999999999995,35.6
1,6_8,0.46319444444444446,C,Early,21.744999999999997,61.254999999999995,34.9
2,6_2,0.39305555555555555,C,Early,24.44,65.05,35.3
2,6_2,0.39305555555555555,C,Early,24.44,65.05,34
